runtime,write_alg,read_alg,count,batch,write_ops/s,read_ops/s
release,seq,seq,100000,5000,92601,50000000
release,seq,seq,100000,5000,93405,55555555
release,seq,seq,100000,5000,90073,55555555
release,seq,seq,100000,5000,93510,55555555
release,seq,seq,100000,5000,89863,55555555
release,seq,seq,100000,10000,163212,55555555
release,seq,seq,100000,10000,160179,55555555
release,seq,seq,100000,10000,161550,55555555
release,seq,seq,100000,10000,159821,55555555
release,seq,seq,100000,10000,155836,55555555
release,seq,seq,100000,25000,287273,55555555
release,seq,seq,100000,25000,286286,55555555
release,seq,seq,100000,25000,244319,55555555
release,seq,seq,100000,25000,286368,55555555
release,seq,seq,100000,25000,288267,55555555
release,seq,seq,100000,50000,408329,55555555
release,seq,seq,100000,50000,409165,55555555
release,seq,seq,100000,50000,414250,58823529
release,seq,seq,100000,50000,411861,55555555
release,seq,seq,100000,50000,413052,55555555
release,seq,seq,100000,100000,545256,55555555
release,seq,seq,100000,100000,562429,55555555
release,seq,seq,100000,100000,550357,58823529
release,seq,seq,100000,100000,550055,55555555
release,seq,seq,100000,100000,567536,55555555
release,seq,seq,1000000,5000,90876,52631578
release,seq,seq,1000000,5000,89039,52631578
release,seq,seq,1000000,5000,91608,52631578
release,seq,seq,1000000,5000,90793,52631578
release,seq,seq,1000000,5000,91717,52631578
release,seq,seq,1000000,10000,165617,52631578
release,seq,seq,1000000,10000,166722,50000000
release,seq,seq,1000000,10000,165535,52631578
release,seq,seq,1000000,10000,167252,52631578
release,seq,seq,1000000,10000,165864,52631578
release,seq,seq,1000000,25000,325309,52631578
release,seq,seq,1000000,25000,327011,52631578
release,seq,seq,1000000,25000,326264,52631578
release,seq,seq,1000000,25000,324780,52631578
release,seq,seq,1000000,25000,326477,52631578
release,seq,seq,1000000,50000,469263,52631578
release,seq,seq,1000000,50000,470809,52631578
release,seq,seq,1000000,50000,468823,50000000
release,seq,seq,1000000,50000,469043,50000000
release,seq,seq,1000000,50000,471253,50000000
release,seq,seq,1000000,100000,561167,52631578
release,seq,seq,1000000,100000,562746,52631578
release,seq,seq,1000000,100000,565291,52631578
release,seq,seq,1000000,100000,564334,52631578
release,seq,seq,1000000,100000,568828,52631578
release,seq,seq,1000000,250000,616142,52631578
release,seq,seq,1000000,250000,642673,52631578
release,seq,seq,1000000,250000,641025,52631578
release,seq,seq,1000000,250000,648088,50000000
release,seq,seq,1000000,250000,648088,52631578
release,seq,rnd,100000,5000,92013,2074688
release,seq,rnd,100000,5000,91390,2036659
release,seq,rnd,100000,5000,92327,1988071
release,seq,rnd,100000,5000,90958,2053388
release,seq,rnd,100000,5000,92004,2053388
release,seq,rnd,100000,10000,162548,2053388
release,seq,rnd,100000,10000,161342,2079002
release,seq,rnd,100000,10000,161524,2044989
release,seq,rnd,100000,10000,160436,2057613
release,seq,rnd,100000,10000,160076,2070393
release,seq,rnd,100000,25000,284819,2028397
release,seq,rnd,100000,25000,284171,2036659
release,seq,rnd,100000,25000,273000,1890359
release,seq,rnd,100000,25000,293083,1941747
release,seq,rnd,100000,25000,290444,1937984
release,seq,rnd,100000,50000,413907,1937984
release,seq,rnd,100000,50000,392003,1984126
release,seq,rnd,100000,50000,422119,1996007
release,seq,rnd,100000,50000,417885,1968503
release,seq,rnd,100000,50000,421940,2036659
release,seq,rnd,100000,100000,544069,2032520
release,seq,rnd,100000,100000,551876,2053388
release,seq,rnd,100000,100000,557724,2053388
release,seq,rnd,100000,100000,530785,2020202
release,seq,rnd,100000,100000,540248,2044989
release,seq,rnd,1000000,5000,91066,1144164
release,seq,rnd,1000000,5000,91583,1137656
release,seq,rnd,1000000,5000,91157,1142857
release,seq,rnd,1000000,5000,91141,1140250
release,seq,rnd,1000000,5000,91449,1131221
release,seq,rnd,1000000,10000,166306,1100110
release,seq,rnd,1000000,10000,165809,1127395
release,seq,rnd,1000000,10000,165180,1117318
release,seq,rnd,1000000,10000,166583,1127395
release,seq,rnd,1000000,10000,166805,1123595
release,seq,rnd,1000000,25000,326690,1138952
release,seq,rnd,1000000,25000,327761,1140250
release,seq,rnd,1000000,25000,323939,1137656
release,seq,rnd,1000000,25000,323206,1135073
release,seq,rnd,1000000,25000,325203,1138952
release,seq,rnd,1000000,50000,473260,1149425
release,seq,rnd,1000000,50000,474608,1135073
